"Name","Team","PA","Events","EV","maxEV","LA","Barrels","Barrel%","HardHit","HardHit%","AVG","xBA","SLG","xSLG","wOBA","xwOBA","playerid"
"Rougned Odor","TEX","103","76","90.2","110.8","20.9","4","5.3%","28","36.8%",".196","",".371","",".258","","12282"
"Kendrys Morales","TOR","105","75","90.2","110.4","8.4","7","9.3%","33","44.0%",".227","",".381","",".285","","8610"
"Jason Heyward","CHC","94","70","90.1","109.2","9.3","3","4.3%","27","38.6%",".279","",".407","",".326","","4940"
"Avisail Garcia","CHW","93","66","90.1","115.5","11.7","10","15.2%","24","36.4%",".368","",".621","",".432","","5760"
"Charlie Blackmon","COL","118","89","90.1","110.8","16.3","10","11.2%","33","37.1%",".290","",".589","",".381","","7859"
"Welington Castillo","BAL","72","53","90.0","107.6","17.7","2","3.8%","25","47.2%",".314","",".443","",".332","","3256"
"Joe Mauer","MIN","85","74","89.9","105.4","12.4","3","4.1%","31","41.9%",".225","",".275","",".243","","1857"
"Victor Martinez","DET","96","73","89.8","104.2","12.7","2","2.7%","26","35.6%",".218","",".276","",".250","","393"
"Yasiel Puig","LAD","104","73","89.8","116.0","10.4","7","9.6%","32","43.8%",".236","",".438","",".323","","14225"
"Jose Ramirez","CLE","103","78","89.7","105.9","19.6","6","7.7%","24","30.8%",".330","",".593","",".408","","13510"
"Yuli Gurriel","HOU","82","68","89.7","107.0","6.5","1","1.5%","27","39.7%",".329","",".481","",".357","","19198"
"Robinson Cano","SEA","114","89","89.7","112.7","6.8","5","5.6%","35","39.3%",".252","",".427","",".311","","3269"
"Chris Owings","ARI","96","70","89.6","107.8","9.6","1","1.4%","26","37.1%",".311","",".511","",".367","","10030"
"Eric Thames","MIL","103","61","89.6","112.0","11.7","12","19.7%","30","49.2%",".345","",".810","",".512","","3711"
"Trevor Story","COL","103","51","89.5","108.4","32.3","7","13.7%","18","35.3%",".167","",".411","",".293","","12564"
"Max Kepler","MIN","87","60","89.5","111.0","12.4","2","3.3%","20","33.3%",".280","",".467","",".357","","12144"
"Francisco Cervelli","PIT","83","60","89.5","105.5","7.3","2","3.3%","23","38.3%",".203","",".392","",".294","","5275"
"Dansby Swanson","ATL","95","66","89.4","107.6","10.9","4","6.1%","24","36.4%",".156","",".233","",".193","","18314"
"Hunter Pence","SFG","106","76","89.4","108.1","8.1","4","5.3%","30","39.5%",".266","",".340","",".296","","8252"
"Jose Bautista","TOR","110","62","89.4","109.5","21.6","3","4.8%","23","37.1%",".178","",".244","",".257","","1887"
"Michael Brantley","CLE","85","60","89.4","108.9","11.1","6","10.0%","26","43.3%",".308","",".551","",".383","","4106"
"Carlos Santana","CLE","113","85","89.4","111.5","11.8","5","5.9%","31","36.5%",".224","",".367","",".307","","2396"
"Yasmani Grandal","LAD","84","54","89.3","109.0","6.3","3","5.6%","21","38.9%",".225","",".408","",".318","","11368"
"Yunel Escobar","LAA","115","94","89.3","111.7","0.9","4","4.3%","36","38.3%",".234","",".336","",".273","","4191"
"Anthony Rendon","WSN","101","71","89.2","108.3","12.5","5","7.0%","21","29.6%",".278","",".411","",".336","","12861"
"Carlos Correa","HOU","97","64","89.2","111.7","10.6","5","7.8%","27","42.2%",".233","",".349","",".286","","14162"
"Melky Cabrera","CHW","85","67","89.1","107.5","13.3","3","4.5%","22","32.8%",".260","",".351","",".293","","4022"
"Adam Duvall","CIN","96","67","89.0","109.4","18.5","9","13.4%","28","41.8%",".247","",".551","",".347","","10950"
"A.J. Pollock","ARI","112","88","89.0","108.7","8.3","3","3.4%","36","40.9%",".324","",".486","",".364","","9256"
"Trevor Plouffe","OAK","91","53","89.0","108.7","5.6","4","7.5%","21","39.6%",".207","",".366","",".277","","7462"
